PurchaseFrequency;PurchaseCategories;PersonalizedRecommendationFrequency;BrowsingFrequency;ProductSearchMethod;SearchResultExploration;SaveforlaterFrequency
Few times a month;Beauty and Personal Care;Yes;Few times a week;Keyword;Multiple pages;Sometimes
Once a month;Clothing and Fashion;Yes;Few times a month;Keyword;Multiple pages;Rarely
Few times a month;"Groceries and Gourmet Food;Clothing and Fashion";No;Few times a month;Keyword;Multiple pages;Rarely
Once a month;"Beauty and Personal Care;Clothing and Fashion;others";Sometimes;Few times a month;Keyword;First page;Sometimes
Less than once a month;"Beauty and Personal Care;Clothing and Fashion";Yes;Few times a month;Filter;Multiple pages;Rarely
Less than once a month;Clothing and Fashion;No;Rarely;categories;Multiple pages;Never
Less than once a month;Clothing and Fashion;No;Rarely;Filter;Multiple pages;Rarely
Few times a month;"Beauty and Personal Care;Clothing and Fashion";No;Rarely;Keyword;Multiple pages;Rarely
Less than once a month;"Beauty and Personal Care;Clothing and Fashion";Sometimes;Few times a month;Keyword;First page;Often
Less than once a month;"Beauty and Personal Care;Clothing and Fashion";No;Rarely;Keyword;Multiple pages;Rarely
Less than once a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;Sometimes
Multiple times a week;"Beauty and Personal Care;Clothing and Fashion;Home and Kitchen";No;Few times a week;Keyword;Multiple pages;Sometimes
Less than once a month;"Beauty and Personal Care;Clothing and Fashion";No;Few times a month;Keyword;First page;Rarely
Once a month;"Clothing and Fashion;Home and Kitchen";No;Few times a month;Keyword;Multiple pages;Often
Less than once a month;Beauty and Personal Care;Yes;Few times a week;Keyword;Multiple pages;Always
Less than once a month;others;No;Rarely;Filter;First page;Sometimes
Few times a month;"Clothing and Fashion;others";Sometimes;Few times a month;Keyword;Multiple pages;Never
Less than once a month;Clothing and Fashion;No;Few times a month;Keyword;Multiple pages;Never
Few times a month;"Beauty and Personal Care;Home and Kitchen";Sometimes;Few times a month;Keyword;Multiple pages;Rarely
Less than once a month;Beauty and Personal Care;No;Few times a week;Keyword;Multiple pages;Rarely
Once a week;Groceries and Gourmet Food;No;Few times a month;Keyword;Multiple pages;Never
Once a month;Clothing and Fashion;No;Few times a month;others;First page;Sometimes
Less than once a month;others;No;Few times a week;others;Multiple pages;Never
Less than once a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;Often
Few times a month;"Beauty and Personal Care;Clothing and Fashion;others";No;Few times a month;Keyword;Multiple pages;Rarely
Multiple times a week;Groceries and Gourmet Food;Yes;Few times a week;categories;Multiple pages;Sometimes
Less than once a month;"Beauty and Personal Care;Clothing and Fashion";No;Few times a week;Keyword;Multiple pages;Often
Less than once a month;Beauty and Personal Care;No;Few times a month;categories;Multiple pages;Rarely
Few times a month;"Beauty and Personal Care;Clothing and Fashion;others";Sometimes;Few times a week;categories;Multiple pages;Often
