AddToCartBrowsing;CartCompletionFrequency;CartAbandonmentFactors
Yes;Sometimes;Found a better price elsewhere
Yes;Often;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Maybe;Sometimes;Found a better price elsewhere
Yes;Sometimes;High shipping costs
Yes;Rarely;Changed my mind or no longer need the item
Yes;Often;High shipping costs
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Rarely;Found a better price elsewhere
Maybe;Sometimes;Found a better price elsewhere
Yes;Sometimes;High shipping costs
Maybe;Sometimes;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Maybe;Sometimes;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Maybe;Sometimes;others
Yes;Sometimes;High shipping costs
Yes;Sometimes;Found a better price elsewhere
No;Often;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Never;others
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Rarely;others
Maybe;Rarely;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Often;others
Yes;Sometimes;Found a better price elsewhere
Yes;Often;High shipping costs
Maybe;Often;Changed my mind or no longer need the item
No;Never;others
Yes;Often;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Rarely;Found a better price elsewhere
Yes;Always;Changed my mind or no longer need the item
Maybe;Often;Found a better price elsewhere
Yes;Often;Changed my mind or no longer need the item
Yes;Always;Found a better price elsewhere
Yes;Sometimes;High shipping costs
No;Always;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Rarely;Found a better price elsewhere
Yes;Sometimes;High shipping costs
Yes;Always;High shipping costs
Yes;Sometimes;High shipping costs
Maybe;Rarely;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Always;Changed my mind or no longer need the item
Yes;Rarely;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Often;Found a better price elsewhere
Yes;Rarely;Changed my mind or no longer need the item
Maybe;Rarely;Changed my mind or no longer need the item
Maybe;Sometimes;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;High shipping costs
Yes;Often;Changed my mind or no longer need the item
Maybe;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Maybe;Never;Changed my mind or no longer need the item
Maybe;Sometimes;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Maybe;Rarely;High shipping costs
Yes;Often;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Often;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Maybe;Never;Changed my mind or no longer need the item
Yes;Always;others
Yes;Sometimes;Changed my mind or no longer need the item
No;Rarely;Changed my mind or no longer need the item
Maybe;Sometimes;Found a better price elsewhere
Maybe;Never;Changed my mind or no longer need the item
Maybe;Rarely;Found a better price elsewhere
Maybe;Rarely;Changed my mind or no longer need the item
Yes;Often;others
No;Never;High shipping costs
No;Often;Found a better price elsewhere
Maybe;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;High shipping costs
Yes;Rarely;High shipping costs
Maybe;Sometimes;Found a better price elsewhere
No;Never;others
Maybe;Sometimes;Found a better price elsewhere
Maybe;Often;Found a better price elsewhere
Maybe;Often;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
No;Rarely;Changed my mind or no longer need the item
No;Never;Changed my mind or no longer need the item
No;Rarely;others
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Rarely;others
No;Sometimes;Changed my mind or no longer need the item
Yes;Often;others
Yes;Often;Changed my mind or no longer need the item
Yes;Sometimes;High shipping costs
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
Yes;Often;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Never;High shipping costs
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Always;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
No;Rarely;Found a better price elsewhere
No;Often;Found a better price elsewhere
No;Often;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Sometimes;Changed my mind or no longer need the item
No;Often;High shipping costs
Yes;Often;Found a better price elsewhere
Yes;Always;High shipping costs
Maybe;Never;others
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Always;High shipping costs
No;Rarely;Changed my mind or no longer need the item
Yes;Often;Found a better price elsewhere
No;Often;Found a better price elsewhere
Yes;Often;Changed my mind or no longer need the item
No;Often;Changed my mind or no longer need the item
No;Often;Changed my mind or no longer need the item
Yes;Rarely;High shipping costs
Yes;Often;Changed my mind or no longer need the item
No;Rarely;Changed my mind or no longer need the item
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Rarely;High shipping costs
Yes;Always;High shipping costs
Yes;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
No;Sometimes;Found a better price elsewhere
Maybe;Never;Changed my mind or no longer need the item
No;Sometimes;Changed my mind or no longer need the item
No;Always;High shipping costs
No;Sometimes;Found a better price elsewhere
No;Rarely;Changed my mind or no longer need the item
No;Sometimes;Changed my mind or no longer need the item
Maybe;Sometimes;Found a better price elsewhere
No;Never;others
No;Sometimes;Changed my mind or no longer need the item
No;Often;Found a better price elsewhere
Maybe;Rarely;High shipping costs
Maybe;Never;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
No;Often;Changed my mind or no longer need the item
Maybe;Rarely;Found a better price elsewhere
No;Always;Changed my mind or no longer need the item
No;Rarely;Found a better price elsewhere
No;Sometimes;High shipping costs
Yes;Often;Found a better price elsewhere
Maybe;Often;others
Yes;Often;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
Maybe;Often;High shipping costs
Maybe;Often;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Maybe;Often;Found a better price elsewhere
Maybe;Often;Found a better price elsewhere
Yes;Often;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Maybe;Sometimes;High shipping costs
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Sometimes;High shipping costs
No;Often;Found a better price elsewhere
No;Often;Found a better price elsewhere
No;Rarely;Found a better price elsewhere
Maybe;Sometimes;Changed my mind or no longer need the item
Maybe;Sometimes;Found a better price elsewhere
Maybe;Often;High shipping costs
Yes;Sometimes;High shipping costs
Maybe;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Always;High shipping costs
No;Never;others
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Always;Found a better price elsewhere
Maybe;Sometimes;Changed my mind or no longer need the item
Maybe;Often;Changed my mind or no longer need the item
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Sometimes;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Sometimes;Found a better price elsewhere
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Often;Changed my mind or no longer need the item
No;Sometimes;Found a better price elsewhere
Yes;Rarely;Found a better price elsewhere
Maybe;Sometimes;others
Yes;Sometimes;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Changed my mind or no longer need the item
Maybe;Rarely;High shipping costs
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Maybe;Sometimes;Changed my mind or no longer need the item
Yes;Rarely;Changed my mind or no longer need the item
Yes;Always;Found a better price elsewhere
Maybe;Rarely;others
Yes;Sometimes;Changed my mind or no longer need the item
Yes;Rarely;Changed my mind or no longer need the item
Yes;Often;Found a better price elsewhere
Maybe;Sometimes;High shipping costs
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
Yes;Sometimes;others
Yes;Often;Found a better price elsewhere
Yes;Sometimes;Found a better price elsewhere
