CustomerReviewsImportance;ReviewLeft;ReviewReliability;ReviewHelpfulness
1;Yes;Occasionally;Yes
1;No;Heavily;Yes
2;No;Occasionally;No
5;Yes;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Sometimes
1;No;Moderately;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
1;No;Heavily;Sometimes
1;Yes;Moderately;Yes
1;Yes;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Moderately;Yes
1;No;Heavily;Yes
3;No;Occasionally;Yes
1;No;Heavily;Yes
1;No;Never;Sometimes
2;No;Moderately;Yes
1;Yes;Heavily;Yes
1;Yes;Moderately;No
1;No;Heavily;Yes
4;No;Occasionally;Sometimes
1;No;Heavily;Yes
4;No;Occasionally;Yes
5;Yes;Heavily;Yes
5;No;Heavily;Yes
3;No;Occasionally;Sometimes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
1;Yes;Heavily;Yes
4;No;Occasionally;Sometimes
1;No;Moderately;Yes
1;No;Moderately;Yes
5;Yes;Rarely;Yes
1;Yes;Moderately;Yes
1;No;Moderately;Yes
2;Yes;Moderately;Yes
1;No;Moderately;Sometimes
1;Yes;Moderately;No
1;Yes;Heavily;Yes
5;No;Heavily;Yes
3;No;Occasionally;Sometimes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
4;Yes;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Heavily;Yes
1;No;Moderately;Yes
1;Yes;Heavily;Yes
1;Yes;Moderately;Yes
4;Yes;Heavily;Yes
1;Yes;Heavily;Yes
5;No;Moderately;Sometimes
4;Yes;Moderately;Sometimes
4;Yes;Rarely;Sometimes
1;Yes;Heavily;Yes
1;No;Heavily;Yes
3;No;Occasionally;Sometimes
4;Yes;Occasionally;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;Yes;Occasionally;Yes
1;No;Moderately;Sometimes
1;Yes;Moderately;Yes
5;Yes;Heavily;No
1;Yes;Moderately;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
1;No;Heavily;Yes
4;Yes;Moderately;Yes
2;No;Moderately;Yes
2;No;Never;Sometimes
4;Yes;Heavily;Yes
5;No;Never;No
3;No;Moderately;Yes
5;Yes;Occasionally;Sometimes
5;Yes;Occasionally;Sometimes
1;No;Occasionally;Yes
4;No;Moderately;Sometimes
5;Yes;Heavily;Yes
3;Yes;Occasionally;No
1;No;Occasionally;Sometimes
1;No;Moderately;Sometimes
3;Yes;Rarely;Yes
