RatingAccuracy ;ShoppingSatisfaction;ServiceAppreciation;ImprovementAreas
1;1;Competitive prices;Reducing packaging waste
3;2;Wide product selection;Reducing packaging waste
3;3;Competitive prices;Product quality and accuracy
3;4;Competitive prices;Product quality and accuracy
2;2;Competitive prices;Product quality and accuracy
5;2;Wide product selection;Product quality and accuracy
3;3;Wide product selection;Shipping speed and reliability
1;3;Competitive prices;Shipping speed and reliability
2;2;Wide product selection;Reducing packaging waste
3;4;Wide product selection;Product quality and accuracy
3;2;Competitive prices;Shipping speed and reliability
3;1;Wide product selection;Product quality and accuracy
3;2;Competitive prices;Product quality and accuracy
2;2;Wide product selection;Product quality and accuracy
3;1;User-friendly website/app interface;Reducing packaging waste
3;3;User-friendly website/app interface;Shipping speed and reliability
3;2;Wide product selection;Shipping speed and reliability
2;1;Wide product selection;Shipping speed and reliability
3;2;Wide product selection;Customer service responsiveness
3;2;Wide product selection;Product quality and accuracy
1;2;Competitive prices;Reducing packaging waste
3;2;User-friendly website/app interface;Customer service responsiveness
3;3;.;.
2;2;Wide product selection;Shipping speed and reliability
1;1;Competitive prices;Customer service responsiveness
2;3;User-friendly website/app interface;Product quality and accuracy
2;2;Wide product selection;Shipping speed and reliability
3;5;Wide product selection;Reducing packaging waste
2;2;User-friendly website/app interface;Shipping speed and reliability
5;4;Competitive prices;Reducing packaging waste
3;4;Wide product selection;Product quality and accuracy
3;4;Competitive prices;Customer service responsiveness
3;3;Wide product selection;Product quality and accuracy
2;1;Wide product selection;Reducing packaging waste
1;1;Competitive prices;Customer service responsiveness
3;1;Wide product selection;Product quality and accuracy
2;1;Wide product selection;Shipping speed and reliability
2;2;Wide product selection;Reducing packaging waste
2;2;Competitive prices;Customer service responsiveness
3;5;Competitive prices;Shipping speed and reliability
2;2;Competitive prices;Product quality and accuracy
4;1;Customer service ;Nothing
4;1;User-friendly website/app interface;Reducing packaging waste
3;2;User-friendly website/app interface;Product quality and accuracy
2;2;User-friendly website/app interface;Shipping speed and reliability
1;1;Wide product selection;Customer service responsiveness
4;4;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Product quality and accuracy
3;3;Wide product selection;Product quality and accuracy
1;2;User-friendly website/app interface;Product quality and accuracy
4;3;Competitive prices;Customer service responsiveness
3;3;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Shipping speed and reliability
3;1;User-friendly website/app interface;Reducing packaging waste
3;3;Wide product selection;Reducing packaging waste
2;2;Product recommendations;Shipping speed and reliability
3;2;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Reducing packaging waste
2;1;Competitive prices;Reducing packaging waste
3;3;Wide product selection;Customer service responsiveness
1;2;Wide product selection;Shipping speed and reliability
3;3;User-friendly website/app interface;Product quality and accuracy
3;2;User-friendly website/app interface;Shipping speed and reliability
3;3;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;4;Competitive prices;Product quality and accuracy
3;3;Wide product selection;Product quality and accuracy
3;1;Wide product selection;Product quality and accuracy
3;2;User-friendly website/app interface;Product quality and accuracy
3;3;Wide product selection;better app interface and lower shipping charges
2;2;Competitive prices;Product quality and accuracy
3;1;User-friendly website/app interface;Shipping speed and reliability
2;1;Wide product selection;Product quality and accuracy
3;1;Customer service;Reducing packaging waste
3;2;User-friendly website/app interface;Reducing packaging waste
2;2;Wide product selection;Product quality and accuracy
4;4;Product recommendations;Customer service responsiveness
2;2;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Shipping speed and reliability
5;5;Competitive prices;Shipping speed and reliability
3;3;Competitive prices;Reducing packaging waste
2;1;Competitive prices;Reducing packaging waste
