location_id;city;state;postal_code;country
1;MUMBAI;MAHARASHTRA;400081;IN
2;BENGALURU;KARNATAKA;560085;IN
3;NAVI MUMBAI;MAHARASHTRA;410210;IN
4;PUDUCHERRY;PUDUCHERRY;605008;IN
5;CHENNAI;TAMIL NADU;600073;IN
6;GHAZIABAD;UTTAR PRADESH;201102;IN
7;CHANDIGARH;CHANDIGARH;160036;IN
8;HYDERABAD;TELANGANA;500032;IN
9;HYDERABAD;TELANGANA;500008;IN
10;Chennai;TAMIL NADU;600041;IN
11;NOIDA;UTTAR PRADESH;201303;IN
12;Amravati;MAHARASHTRA;444606;IN
13;MUMBAI;MAHARASHTRA;400053;IN
14;GUNTAKAL;ANDHRA PRADESH;515801;IN
15;JAIPUR;RAJASTHAN;302020;IN
16;NEW DELHI;DELHI;110074;IN
17;Gurgaon;HARYANA;122004;IN
18;BENGALURU;KARNATAKA;560017;IN
19;TIRUCHIRAPPALLI;TAMIL NADU;620018;IN
20;BENGALURU;KARNATAKA;560040;IN
21;HYDERABAD;TELANGANA;500072;IN
22;pune;MAHARASHTRA;411044;IN
23;TEZPUR;ASSAM;784001;IN
24;RANCHI;JHARKHAND;834002;IN
25;BILASPUR;CHHATTISGARH;495001;IN
26;PUNE;MAHARASHTRA;411052;IN
27;BENGALURU;KARNATAKA;560037;IN
28;GUWAHATI;ASSAM;781003;IN
29;THIRUVARUR;TAMIL NADU;613704;IN
30;LUCKNOW;UTTAR PRADESH;226010;IN
31;VISAKHAPATNAM;ANDHRA PRADESH;530016;IN
32;JEYPUR;ODISHA;764001;IN
33;HYDERABAD;TELANGANA;500028;IN
34;LUCKNOW;UTTAR PRADESH;226016;IN
35;CHENNAI;TAMIL NADU;600033;IN
36;NEW DELHI;DELHI;110092;IN
37;THIRUVANANTHAPURAM;KERALA;695011;IN
38;GREATER NOIDA;UTTAR PRADESH;201306;IN
39;JABALPUR;MADHYA PRADESH;482002;IN
40;MUMBAI;MAHARASHTRA;400092;IN
41;LUCKNOW;UTTAR PRADESH;226017;IN
42;MUMBAI;MAHARASHTRA;400076;IN
43;KOLKATA;WEST BENGAL;700014;IN
44;ONGOLE;ANDHRA PRADESH;523001;IN
45;SECUNDERABAD;TELANGANA;500017;IN
46;HYDERABAD;TELANGANA;500062;IN
47;KEWALPUR;UTTAR PRADESH;271881;IN
48;CUTTACK;ODISHA;753012;IN
49;BADLAPUR;MAHARASHTRA;421503;IN
50;dimapur;NAGALAND;797112;IN
51;BENGALURU;KARNATAKA;560047;IN
52;BENGALURU;KARNATAKA;560076;IN
53;WARANGAL;TELANGANA;506001;IN
54;DHAULPUR;RAJASTHAN;328024;IN
55;GUWAHATI;ASSAM;781029;IN
56;Bengaluru;KARNATAKA;560103;IN
57;BENGALURU;KARNATAKA;560023;IN
58;NAGPUR;MAHARASHTRA;440022;IN
59;THANE;MAHARASHTRA;400607;IN
60;Dahod;Gujarat;389151;IN
61;RANCHI;JHARKHAND;834004;IN
62;PUNE;MAHARASHTRA;411014;IN
63;VIJAPURA;KARNATAKA;586201;IN
64;MUMBAI;MAHARASHTRA;400080;IN
65;bangalore;KARNATAKA;560001;IN
66;BENGALURU;KARNATAKA;560098;IN
67;BERHAMPUR;ODISHA;760002;IN
68;HYDERABAD;TELANGANA;500085;IN
69;PUNE;MAHARASHTRA;411045;IN
70;HIMMATNAGAR;Gujarat;383001;IN
71;Kolkata;WEST BENGAL;700048;IN
72;HYDERABAD;TELANGANA;502032;IN
73;DEHRADUN;UTTARAKHAND;248001;IN
74;KOLKATA;WEST BENGAL;700078;IN
75;DHARMAPURI;TAMIL NADU;636705;IN
76;DEHRADUN;UTTARAKHAND;248005;IN
77;JAIPUR;RAJASTHAN;303905;IN
78;VADODARA;Gujarat;390019;IN
79;CHAVAKKAD;KERALA;680506;IN
80;PATNA;BIHAR;800026;IN
81;CHENNAI;TAMIL NADU;600028;IN
82;VADODARA;Gujarat;390018;IN
83;VADODARA;Gujarat;390003;IN
84;PUNE;MAHARASHTRA;411046;IN
85;Jammu;JAMMU & KASHMIR;180011;IN
86;bangalore;KARNATAKA;560026;IN
87;NEW DELHI;DELHI;110036;IN
88;NARNAUND;HARYANA;125039;IN
89;Ahmedabad;Gujarat;380051;IN
90;AMBARNATH;MAHARASHTRA;421502;IN
91;GWALIOR;MADHYA PRADESH;474005;IN
92;NEW DELHI;DELHI;110078;IN
93;ROHTAK;HARYANA;124001;IN
94;Kolkata;WEST BENGAL;700156;IN
95;NEW DELHI;DELHI;110034;IN
96;HYDERABAD;TELANGANA;500054;IN
97;PATNA;BIHAR;800002;IN
98;RAMAGUNDAM;TELANGANA;505211;IN
99;PITHORAGARH;UTTARAKHAND;262501;IN
100;KOLKATA;WEST BENGAL;700057;IN
101;MUMBAI;MAHARASHTRA;400101;IN
102;HYDERABAD;TELANGANA;500053;IN
103;GUWAHATI, KAMRUP (M);ASSAM;781014;IN
104;KOLAR;KARNATAKA;563101;IN
105;PATIALA;PUNJAB;147001;IN
106;REWA;MADHYA PRADESH;486001;IN
107;BONGAIGAON;ASSAM;783380;IN
108;HYDERABAD;TELANGANA;500087;IN
109;BENGALURU;KARNATAKA;560055;IN
110;Chengalpattu;TAMIL NADU;603002;IN
111;PERAMBALUR;TAMIL NADU;621212;IN
112;BILASPUR;HIMACHAL PRADESH;174001;IN
113;CHENNAI;TAMIL NADU;600099;IN
114;VARANASI;UTTAR PRADESH;221010;IN
115;BENGALURU;KARNATAKA;560036;IN
116;COIMBATORE;TAMIL NADU;641035;IN
117;CHIRMIRI;CHHATTISGARH;497449;IN
118;AZAMGARH;UTTAR PRADESH;276302;IN
119;KALYAN;MAHARASHTRA;421306;IN
120;NEW DELHI;DELHI;110016;IN
121;GUWAHATI;ASSAM;781026;IN
122;MYSORE;KARNATAKA;570008;IN
123;BARABANKI;UTTAR PRADESH;225001;IN
124;AMILA;UTTAR PRADESH;275301;IN
125;VIJAYAWADA;ANDHRA PRADESH;520010;IN
126;RAWAN AMBUJA CEMENT PLANT;CHHATTISGARH;493331;IN
127;HERBERTPUR;UTTARAKHAND;248142;IN
128;BENGALURU;KARNATAKA;560048;IN
129;KALAMASSERY;KERALA;682021;IN
130;Puri-2;ODISHA;752002;IN
131;TIKABALI;ODISHA;762010;IN
132;BIHARSHARIF;BIHAR;803115;IN
133;HYDERABAD;TELANGANA;500075;IN
134;PARAVUR;KERALA;683513;IN
135;BASTI;UTTAR PRADESH;272001;IN
136;WALAJAPET;TAMIL NADU;632513;IN
137;Bengaluru;KARNATAKA;560029;IN
138;Mahendragarh;HARYANA;123027;IN
139;HYDERABAD;TELANGANA;500086;IN
140;New Delhi;DELHI;110019;IN
141;GURUGRAM;HARYANA;122002;IN
142;BENGALURU;KARNATAKA;560022;IN
143;MUMBAI;MAHARASHTRA;400069;IN
144;BIJNOR;UTTAR PRADESH;246722;IN
145;MUMBAI;MAHARASHTRA;400078;IN
146;ALLAHABAD;UTTAR PRADESH;211001;IN
147;VASAI VIRAR;MAHARASHTRA;401202;IN
148;BENGALURU;KARNATAKA;560087;IN
149;BIJNOR;UTTAR PRADESH;246701;IN
150;HYDERABAD;TELANGANA;500090;IN
151;BENGALURU;KARNATAKA;560075;IN
152;MANGALURU;KARNATAKA;575001;IN
153;HYDERABAD;TELANGANA;500034;IN
154;NEW TOWN;WEST BENGAL;700059;IN
155;MUMBAI;MAHARASHTRA;400016;IN
156;SAMBHAL;UTTAR PRADESH;244302;IN
157;NAGPUR;MAHARASHTRA;441002;IN
158;ELAVANASURKOTTAI;TAMIL NADU;607202;IN
159;SANGLI MIRAJ KUPWAD;MAHARASHTRA;416410;IN
160;MYSURU;KARNATAKA;570016;IN
161;ANKLESHWR;Gujarat;393002;IN
162;Chennai;TAMIL NADU;600117;IN
163;Greater Noida West;UTTAR PRADESH;201009;IN
164;JAMMU;JAMMU & KASHMIR;180007;IN
165;ITANAGAR;ARUNACHAL PRADESH;791113;IN
166;KOLKATA;WEST BENGAL;700075;IN
167;KARANJA;MAHARASHTRA;444105;IN
168;NIMBAHERA;RAJASTHAN;312620;IN
169;Imphal East;MANIPUR;795010;IN
170;BIDHAN NAGAR;WEST BENGAL;700064;IN
171;BENGALURU;KARNATAKA;560064;IN
172;AHMEDABAD;Gujarat;380015;IN
173;TIRUCHIRAPPALLI;TAMIL NADU;620001;IN
174;BHUBANESWAR;ODISHA;752054;IN
175;ALIGARH;UTTAR PRADESH;202001;IN
176;KOCHI;KERALA;682006;IN
177;GHAZIABAD;UTTAR PRADESH;201014;IN
178;PUNE;MAHARASHTRA;412207;IN
179;Bangalore;KARNATAKA;560016;IN
180;MALAPPURAM;KERALA;676517;IN
181;NOIDA;UTTAR PRADESH;201301;IN
182;GREATER NOIDA;UTTAR PRADESH;201308;IN
183;PATNA;BIHAR;800023;IN
184;SIBSAGAR;ASSAM;785674;IN
185;GAYA;BIHAR;823001;IN
186;BENGALURU;KARNATAKA;560083;IN
187;GURUGRAM;HARYANA;122001;IN
188;KOLLAM;KERALA;691522;IN
189;PERALASSERI;KERALA;670622;IN
190;BENGALURU;KARNATAKA;560102;IN
191;BENGALURU;KARNATAKA;560100;IN
192;UDUPI;KARNATAKA;576104;IN
193;MARIANI;ASSAM;785634;IN
194;NEW DELHI;DELHI;110075;IN
195;MANGALURU;KARNATAKA;575006;IN
196;AHMEDABAD;Gujarat;380022;IN
197;KOLKATA;WEST BENGAL;700051;IN
198;COOCH BEHAR;WEST BENGAL;736101;IN
199;PUNE;MAHARASHTRA;411037;IN
200;DEHRADUN;UTTARAKHAND;248009;IN
201;JHARIA KHAS;JHARKHAND;828111;IN
202;KOLKATA;WEST BENGAL;700070;IN
203;Secunderabad;TELANGANA;500010;IN
204;UDAIPUR;RAJASTHAN;313001;IN
205;COIMBATORE;TAMIL NADU;641030;IN
206;BHUBANESWAR;ODISHA;751006;IN
207;BHAGALPUR;BIHAR;812003;IN
208;NAGPUR;MAHARASHTRA;440036;IN
209;CHENNAI;TAMIL NADU;600096;IN
210;BERHAMPORE;WEST BENGAL;742103;IN
211;SEONI;MADHYA PRADESH;480661;IN
212;Agra;UTTAR PRADESH;282002;IN
213;LUCKNOW;UTTAR PRADESH;226029;IN
214;BENGALURU;KARNATAKA;560067;IN
215;PATNA;BIHAR;800001;IN
216;GHAZIABAD;UTTAR PRADESH;201012;IN
217;Nermand;HIMACHAL PRADESH;172023;IN
218;CHENNAI;TAMIL NADU;600010;IN
219;KAMAREDDY;TELANGANA;503111;IN
220;SRINAGAR;JAMMU & KASHMIR;190015;IN
221;BENGALURU;KARNATAKA;560042;IN
222;MUDDEBIHAL;KARNATAKA;586212;IN
223;SANTHAMAGULURU MANDAL;ANDHRA PRADESH;523302;IN
224;HYDERABAD;TELANGANA;500058;IN
225;NEW DELHI;DELHI;110045;IN
226;BENGALURU;KARNATAKA;562125;IN
227;KOLKATA 700034;WEST BENGAL;700034;IN
228;kolkata;WEST BENGAL;700045;IN
229;HYDERABAD;TELANGANA;500001;IN
230;BARUIPUR;WEST BENGAL;700145;IN
231;KENDRAPARA;ODISHA;754211;IN
232;VIJAYAWADA;ANDHRA PRADESH;521225;IN
233;MUMBAI;MAHARASHTRA;400072;IN
234;NASHIK;MAHARASHTRA;422003;IN
235;THANE;MAHARASHTRA;401107;IN
236;HOSHIARPUR;PUNJAB;146001;IN
237;BENGALURU;KARNATAKA;560010;IN
238;BARSHI;MAHARASHTRA;413401;IN
239;HYDERABAD;TELANGANA;500089;IN
240;BENGALURU;KARNATAKA;560068;IN
241;CHENNAI;TAMIL NADU;600036;IN
242;CHANDI MANDIR;HARYANA;134107;IN
243;ujjain;MADHYA PRADESH;456010;IN
244;Haldwani;UTTARAKHAND;263139;IN
245;CHENNAI;TAMIL NADU;600125;IN
246;MUMBAI;MAHARASHTRA;400049;IN
247;Uttarkashi;UTTARAKHAND;249193;IN
248;Old Goa;Goa;403107;IN
249;MAHESHWAR;MADHYA PRADESH;451224;IN
250;HARDOI;UTTAR PRADESH;241001;IN
251;HYDERABAD;TELANGANA;500073;IN
252;SHILLONG;MEGHALAYA;793008;IN
253;DHAMNOD DHAR DISTRICT;MADHYA PRADESH;454552;IN
254;BENGALURU;KARNATAKA;560070;IN
255;CHAKDAHA;WEST BENGAL;741222;IN
256;CHENNAI;TAMIL NADU;600082;IN
257;KOLKATA;WEST BENGAL;700044;IN
258;CHIKKAMAGALURU;KARNATAKA;577101;IN
259;BHUBANESWAR;ODISHA;751003;IN
260;GURUGRAM;HARYANA;122018;IN
261;KOLKATA;WEST BENGAL;700050;IN
262;ALLAHABAD;UTTAR PRADESH;211004;IN
263;LUCKNOW;UTTAR PRADESH;226022;IN
264;KOLKATA;WEST BENGAL;700089;IN
265;MALDA;WEST BENGAL;732101;IN
266;Nellore;ANDHRA PRADESH;524314;IN
267;CUNCOLIM;GOA;403703;IN
268;Hyderabad;TELANGANA;500068;IN
269;PUNE;MAHARASHTRA;411028;IN
270;trivandrum;KERALA;695003;IN
271;KANPUR;UTTAR PRADESH;208027;IN
272;CHINNALAPATTI;TAMIL NADU;624301;IN
273;BENGALURU;KARNATAKA;560072;IN
274;BAGESHWAR;UTTARAKHAND;263642;IN
275;NEW DELHI;DELHI;110059;IN
276;BARRACKPORE;WEST BENGAL;700122;IN
277;Dombivali  east;MAHARASHTRA;421201;IN
278;NEW DELHI;DELHI;110017;IN
279;PATNA;BIHAR;801105;IN
280;Hyderabad;TELANGANA;500070;IN
281;New delhi;DELHI;110085;IN
282;NEW TOWN;WEST BENGAL;700135;IN
283;HYDERABAD;TELANGANA;502319;IN
284;NEW DELHI;DELHI;110096;IN
285;SIBSAGAR;ASSAM;785667;IN
286;JAMMU;JAMMU & KASHMIR;180015;IN
287;Pune;MAHARASHTRA;411019;IN
288;Pathanapuram;KERALA;689695;IN
289;JAUNPUR;UTTAR PRADESH;222001;IN
