CategoryID;Category
1;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
2;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
3;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
4;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
5;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
6;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
7;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
8;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
9;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
10;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
11;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
12;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
13;Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables
14;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
15;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
16;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
17;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
18;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
19;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
20;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
21;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
22;Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables
23;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
24;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
25;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
26;Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables
27;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
28;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
29;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
30;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
31;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
32;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
33;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
34;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
35;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
36;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
37;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
38;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
39;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
40;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
41;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
42;Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions
43;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
44;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
45;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
46;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
47;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
48;Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables
49;Electronics|HomeTheater,TV&Video|Accessories|RemoteControls
50;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
51;Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
52;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
53;Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
54;Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions
