RatingID;Rating;RatingCount;ProductID
1;4.2;24269;B07JW9H4J1
2;4.0;43994;B098NS6PVG
3;3.9;7928;B096MSW6CT
4;4.2;94363;B08HDJ86NZ
5;4.2;16905;B08CF3B7N1
6;3.9;24871;B08Y1TFSP6
7;4.1;15188;B08WRWPM22
8;4.3;30411;B08DDRGWTJ
9;4.2;179691;B008IFXQFU
10;4.0;43994;B082LZGK39
11;4.3;13391;B08CF3D7QR
12;4.2;94363;B0789LZTCJ
13;4.4;426973;B07KSMBL2H
14;4.2;2262;B085DTN6R2
15;4.1;4768;B09KLVMZ3B
16;4.4;18757;B083342NKJ
17;4.2;3284;B0B6F7LX4C
18;4.0;43994;B082LSVT4B
19;4.1;13045;B08WRBG3XW
20;4.3;11976;B08DPLCM6T
21;4.5;815;B09C6HXFC1
22;3.7;10962;B085194JFL
23;4.3;16299;B09F6S8BT6
24;4.0;9378;B09NHVCHS9
25;4.3;4703;B0B1YVCJ2Y
26;4.2;12153;B01M4GGIVU
27;4.2;34899;B08B42LWKN
28;4.0;2766;B094JNXNPV
29;4.4;184;B09W5XR9RT
30;4.3;2085;B077Z65HSD
31;4.5;74976;B00NH11PEY
32;4.0;1934;B09CMM3VGK
33;4.3;974;B08QSC1XY8
34;4.3;355;B008FWZGSG
35;3.9;1075;B0B4HJNPV4
36;3.9;24871;B08Y1SJVV5
37;4.4;13552;B07XLCFSSN
38;4.0;576;B09RZS1NQT
39;4.2;7298;B0B3MMYHYW
40;4.2;462;B09C6HWG18
41;4.5;107687;B00NH11KIK
42;4.3;27151;B09JPC82QC
43;4.2;24269;B07JW1Y6XV
44;4.3;12093;B07KRCW6LZ
45;4.0;9378;B09NJN8L25
46;3.3;9792;B07XJYYH7L
47;4.1;8131;B002PD61Y4
48;4.4;426973;B014I8SSD0
49;3.6;493;B09L8DSSFH
50;4.2;92595;B07232M876
51;4.4;2478;B07P681N66
52;4.2;92595;B0711PVX6Z
53;4.3;8188;B082T6V3DT
54;4.2;4003;B07MKFNHKG
55;4.1;314;B0BFWGBX61
56;3.7;296;B01N90RZ4M
57;4.2;179691;B0088TKTY2
58;4.2;34899;B09Q5SWVBJ
59;4.2;656;B0B4DT8MKT
60;4.3;7064;B08CDKQ8T6
61;3.7;2201;B07B275VN9
62;4.3;7109;B0B15CPR37
63;4.0;1313;B0994GFWBH
64;4.2;29746;B01GGKZ0V6
65;4.2;45238;B09F9YQQ7B
66;4.4;426973;B014I8SX4Y
67;4.1;450;B09Q8HMKZX
68;4.3;457;B0B9XN9S3W
69;4.2;2727;B07966M8XH
70;4.3;20053;B01GGKYKQM
71;4.5;149;B0B86CDHL1
72;4.1;210;B0B5ZF3NRK
73;4.2;45238;B09RFC46VP
74;4.0;7732;B08R69VDHT
75;4.1;178;B09RWZRCP1
76;4.1;602;B09CMP1SC8
77;4.0;1423;B09YLXYP7Y
78;4.1;398;B09ZPM4C2C
79;3.9;536;B0B2DJDCPX
80;4.0;32;B0BCZCQTJX
81;4.2;24269;B07LGT55SJ
82;4.0;9378;B09NKZXMWJ
83;3.4;902;B08QX1CC14
84;4.4;28791;B0974H97TJ
85;4.2;10576;B07GVGTSLN
86;4.2;7298;B09VCHLSJF
87;4.3;4703;B0B1YZX72F
88;4.3;7109;B092BJMT8Q
89;4.5;127;B0BMXMLSMM
90;4.2;24269;B07JH1C41D
91;3.6;10134;B0141EZMAI
92;4.2;34899;B09Q5P2MT3
93;4.2;94363;B08HDH26JX
94;4.1;425;B09VT6JKRP
95;4.2;6659;B09T3KB6JZ
