ReviewID;ReviewTitle;ReviewContent;UserID;ProductID
R3HXWT0LRP0NMF;Satisfied;Looks durable Charging is fine tooNo complains;AG3D6O4STAQKAY2UVGEUV46KN35Q;B07JW9H4J1
R2AJM3LFTLZHFO;Charging is really fast;Charging is really fast good product.;AHMY5CWJMMK5BJRBBSNLYT3ONILA;B07JW9H4J1
R6AQJGUP6P86;Value for money;Till now satisfied with the quality.;AHCTC6ULH4XB6YHDY6PCH2R772LQ;B07JW9H4J1
R1KD19VHEDV0OR;Product review;This is a good product . The charging speed is slower than the original iPhone cable;AGYHHIERNXKA6P5T7CZLXKVPT7IQ;B07JW9H4J1
R3C02RMYQMK6FC;Good quality;Good quality;AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q;B07JW9H4J1
R39GQRVBUZBWGY;Good product; would recommend;AENGU523SXMOS7JPDTW52PNNVWGQ;B07JW9H4J1
R2K9EDOE15QIRJ;Good Product;Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...;AEQJHCVTNINBS4FKTBGQRQTGTE5Q;B07JW9H4J1
R3OI7YT648TL8I;As of now seems good;Value for money;AFC3FFC5PKFF5PMA52S3VCHOZ5FQ;B07JW9H4J1
RGIQEG07R9HS2;A Good Braided Cable for Your Type C Device;I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.;AECPFYFQVRUWC3KGNLJIOREFP5LQ;B098NS6PVG
R1SMWZQ86XIN8U;Good quality product from ambrane;It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging;AGYYVPDD7YG7FYNBXNGXZJT525AQ;B098NS6PVG
R2J3Y1WL29GWDE;Super cable;Value for money;AHONIZU3ICIEHQIGQ6R2VFRSBXOQ;B098NS6PVG
RYGGS0M09S3KY;As; with extra length;AFPHD2CRPDZMWMBL7WXRSVYWS5JA;B098NS6PVG
R17KQRUTAN5DKS;Good quality;Good;AEZ346GX3HJ4O4XNRPHCNHXQURMQ;B098NS6PVG
R3AAQGS6HP2QUK;Good product; working fine;AEPSWFPNECKO34PUC7I56ITGXR6Q;B098NS6PVG
R1HDNOG6TO2CCA;its good;Product quality is good;AHWVEHR5DYLVFTO2KF3IZATFQSWQ;B098NS6PVG
R3PHKXYA5AFEOU;Good quality for the price but one issue with my unit;Good;AH4QT33M55677I7ISQOAKEQWACYQ;B098NS6PVG
R3J3EQQ9TZI5ZJ;Good speed for earlier versions;Not quite durable and sturdy;AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA;B096MSW6CT
R3E7WBGK7ID0KV;Good Product;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg;AESFLDV2PT363T2AQLWQOWZ4N3OA;B096MSW6CT
RWU79XKQ6I1QF;Working good;Working good;AHTPQRIMGUD4BYR5YIHBH3CCGEFQ;B096MSW6CT
R25X4TBMPY91LX;Good for the price;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg;AEUVWXYP5LT7PZLLZENEO2NODPBQ;B096MSW6CT
R27OK7G99VK0TR;Good;Product;AHC7MPW55DOO6WNCOQVA2VHOD26A;B096MSW6CT
R207CYDCHJJTCJ;Worth for money;Very nice product;AFDI6FRPFBTNBG7BAEB7JDJSMKDQ;B096MSW6CT
R3PCU8XMU173BT;Working nice;Working well;AFQKCEEEKXCOHTDG4WUN3XPPHJQQ;B096MSW6CT
R1IMONDOWRNU5V;it's a really nice product;It's a really nice product;AHKUUFNMBZIDLSSPA4FEHIO2EC7Q;B096MSW6CT
R3EEUZKKK9J36I;Good product;Good product;AEWAZDZZJLQUYVOVGBEUKSLXHQ5A;B08HDJ86NZ
R3HJVYCLYOY554;Good one;long wire;AG5HTSFRRE6NL3M5SGCUQBP7YSCA;B08HDJ86NZ
REDECAZ7AMPQC;Nice;Charges good;AH725ST5NW2Y4JZPKUNTIJCUK2BA;B08HDJ86NZ
R1CLH2ULIVG5U3;Really nice product;Nice;AHV3TXIFCJPMS4D5JATCEUR266MQ;B08HDJ86NZ
R2DMKIBGFKBD6R;Very first time change;I bought this cable for Rs.339 worthy product for this price;AGWIGDEMFIIUAOXYY2QATNBSUGHA;B08HDJ86NZ
